url,pillar,role,destination_url,evidence,source,needs_review
https://cavallo-inc.com/faq/cavallo-comfort-sleeves/,Pillar 1 — Hoof Boots,KEEP-SPOKE,,"AUTO. faq, wc=1100, tr=0, li=11. FAQ (boots (commercial)) — keep as spoke; link to Pillar 1 — Hoof Boots.",Auto,No
https://cavallo-inc.com/faq/cavallo-hoof-boot-break-in/,Pillar 1 — Hoof Boots,KEEP-SPOKE,,"AUTO. faq, wc=1411, tr=0, li=18. FAQ (boots (commercial)) — keep as spoke; link to Pillar 1 — Hoof Boots.",Auto,No
https://cavallo-inc.com/faq/cavallo-hoof-boot-pads/,Pillar 2 — Hoof Health,KEEP-SPOKE,,"AUTO. faq, wc=2160, tr=0, li=19. FAQ (laminitis/founder) — keep as spoke; link to Pillar 2 — Hoof Health.",Auto,No
https://cavallo-inc.com/faq/cavallo-hoof-boot-styles/,Pillar 1 — Hoof Boots,KEEP-SPOKE,,"AUTO. faq, wc=2464, tr=0, li=13. FAQ (boots (commercial)) — keep as spoke; link to Pillar 1 — Hoof Boots.",Auto,No
https://cavallo-inc.com/faq/cavallo-hoof-boot-uses/,Pillar 1 — Hoof Boots,KEEP-SPOKE,,"AUTO. faq, wc=2841, tr=0, li=32. FAQ (boots (commercial)) — keep as spoke; link to Pillar 1 — Hoof Boots.",Auto,No
https://cavallo-inc.com/faq/cavallo-hoof-boots-durability-and-lifespan/,Pillar 1 — Hoof Boots,KEEP-SPOKE,,"AUTO. faq, wc=1456, tr=0, li=32. FAQ (boots (commercial)) — keep as spoke; link to Pillar 1 — Hoof Boots.",Auto,No
https://cavallo-inc.com/faq/cavallo-hoof-boots-for-all-terrain/,Pillar 1 — Hoof Boots,KEEP-SPOKE,,"AUTO. faq, wc=1488, tr=0, li=33. FAQ (boots (commercial)) — keep as spoke; link to Pillar 1 — Hoof Boots.",Auto,No
https://cavallo-inc.com/faq/cavallo-hoof-boots-for-arthritis/,Pillar 1 — Hoof Boots,KEEP-SPOKE,,"AUTO. faq, wc=1750, tr=0, li=3. FAQ (boots (commercial)) — keep as spoke; link to Pillar 1 — Hoof Boots.",Auto,No
https://cavallo-inc.com/faq/cavallo-hoof-boots-for-jumping/,Pillar 1 — Hoof Boots,KEEP-SPOKE,,"AUTO. faq, wc=1335, tr=0, li=4. FAQ (boots (commercial)) — keep as spoke; link to Pillar 1 — Hoof Boots.",Auto,No
https://cavallo-inc.com/faq/cavallo-hoof-boots-for-laminitis/,Pillar 2 — Hoof Health,KEEP-SPOKE,,"AUTO. faq, wc=1763, tr=27, li=4. FAQ (laminitis/founder) — keep as spoke; link to Pillar 2 — Hoof Health.",Auto,No
https://cavallo-inc.com/faq/cavallo-hoof-boots-for-miniatures/,Pillar 1 — Hoof Boots,KEEP-SPOKE,,"AUTO. faq, wc=1352, tr=0, li=4. FAQ (boots (commercial)) — keep as spoke; link to Pillar 1 — Hoof Boots.",Auto,No
https://cavallo-inc.com/faq/cavallo-hoof-boots-for-mounted-units/,Pillar 2 — Hoof Health,KEEP-SPOKE,,"AUTO. faq, wc=1510, tr=0, li=6. FAQ (hoof health/anatomy) — keep as spoke; link to Pillar 2 — Hoof Health.",Auto,No
https://cavallo-inc.com/faq/cavallo-hoof-boots-for-navicular/,Pillar 2 — Hoof Health,MERGE+301,https://cavallo-inc.com/is-navicular-disease-always-the-beginning-of-the-end/,"1,549w, 3 links — commercial navicular FAQ. (Decision #3)",Seed,No
https://cavallo-inc.com/faq/cavallo-hoof-boots-for-shod-horses/,Pillar 1 — Hoof Boots,KEEP-SPOKE,,"AUTO. faq, wc=1871, tr=1, li=5. FAQ (boots (commercial)) — keep as spoke; link to Pillar 1 — Hoof Boots.",Auto,No
https://cavallo-inc.com/faq/cavallo-hoof-boots-for-therapy-and-rehabilitation/,Pillar 1 — Hoof Boots,KEEP-SPOKE,,"1,808w, 7 links. Therapy/rehab page; only mentions navicular -> KEEP SEPARATE as its own Pillar 1 spoke. (Decision #3)",Seed,No
https://cavallo-inc.com/faq/cavallo-hoof-boots-for-transport/,Pillar 1 — Hoof Boots,KEEP-SPOKE,,"AUTO. faq, wc=1347, tr=0, li=4. FAQ (boots (commercial)) — keep as spoke; link to Pillar 1 — Hoof Boots.",Auto,No
https://cavallo-inc.com/faq/cavallo-hoof-boots-for-turnout/,Pillar 2 — Hoof Health,KEEP-SPOKE,,"AUTO. faq, wc=1530, tr=0, li=4. FAQ (white line disease) — keep as spoke; link to Pillar 2 — Hoof Health.",Auto,No
https://cavallo-inc.com/faq/cavallo-hoof-boots-in-water/,Pillar 1 — Hoof Boots,KEEP-SPOKE,,"AUTO. faq, wc=1290, tr=0, li=3. FAQ (boots (commercial)) — keep as spoke; link to Pillar 1 — Hoof Boots.",Auto,No
https://cavallo-inc.com/faq/cavallo-hoof-boots-secure-fit/,Pillar 1 — Hoof Boots,KEEP-SPOKE,,"AUTO. faq, wc=1615, tr=0, li=32. FAQ (boots (commercial)) — keep as spoke; link to Pillar 1 — Hoof Boots.",Auto,No
https://cavallo-inc.com/faq/cavallo-hoof-boots-with-feathers/,Pillar 1 — Hoof Boots,KEEP-SPOKE,,"AUTO. faq, wc=1242, tr=0, li=3. FAQ (boots (commercial)) — keep as spoke; link to Pillar 1 — Hoof Boots.",Auto,No
https://cavallo-inc.com/faq/cavallo-hoofcare-savings/,Pillar 3 — Barefoot,KEEP-SPOKE,,"AUTO. faq, wc=1685, tr=0, li=33. FAQ (barefoot care) — keep as spoke; link to Pillar 3 — Barefoot.",Auto,No
https://cavallo-inc.com/faq/cavallo-pastern-wraps/,Pillar 2 — Hoof Health,KEEP-SPOKE,,"AUTO. faq, wc=1331, tr=2, li=13. FAQ (laminitis/founder) — keep as spoke; link to Pillar 2 — Hoof Health.",Auto,No
https://cavallo-inc.com/faq/cavallo-test-faq/,Pillar 2 — Hoof Health,KEEP-SPOKE,,"AUTO. faq, wc=1455, tr=0, li=0. FAQ (laminitis/founder) — keep as spoke; link to Pillar 2 — Hoof Health.",Auto,No
https://cavallo-inc.com/faq/cleaning-cavallo-hoof-boots/,Pillar 1 — Hoof Boots,KEEP-SPOKE,,"AUTO. faq, wc=1431, tr=0, li=3. FAQ (boots (commercial)) — keep as spoke; link to Pillar 1 — Hoof Boots.",Auto,No
https://cavallo-inc.com/faq/hoof-cracks-with-cavallo-hoof-boots/,Pillar 2 — Hoof Health,KEEP-SPOKE,,"AUTO. faq, wc=1621, tr=0, li=4. FAQ (diet/nutrition) — keep as spoke; link to Pillar 2 — Hoof Health.",Auto,No
https://cavallo-inc.com/faq/how-do-cavallo-hoof-boots-compare/,Pillar 1 — Hoof Boots,KEEP-SPOKE,,"AUTO. faq, wc=1828, tr=0, li=3. FAQ (boots (commercial)) — keep as spoke; link to Pillar 1 — Hoof Boots.",Auto,No
https://cavallo-inc.com/faq/laminitis-and-cavallo-hoof-boots/,Pillar 2 — Hoof Health,KEEP-SPOKE,,"AUTO. faq, wc=921, tr=0, li=1. FAQ (laminitis/founder) — keep as spoke; link to Pillar 2 — Hoof Health.",Auto,No
https://cavallo-inc.com/faq/sizing-and-measuring-cavallo-hoof-boots/,Pillar 1 — Hoof Boots,KEEP-SPOKE,,"AUTO. faq, wc=1511, tr=0, li=3. FAQ (boots (commercial)) — keep as spoke; link to Pillar 1 — Hoof Boots.",Auto,No
https://cavallo-inc.com/faq/storing-cavallo-hoof-boots/,Pillar 1 — Hoof Boots,KEEP-SPOKE,,"AUTO. faq, wc=1524, tr=0, li=10. FAQ (boots (commercial)) — keep as spoke; link to Pillar 1 — Hoof Boots.",Auto,No
https://cavallo-inc.com/faq/transitioning-to-barefoot-with-cavallo/,Pillar 3 — Barefoot,KEEP-SPOKE,,"AUTO. faq, wc=1475, tr=0, li=3. FAQ (barefoot care) — keep as spoke; link to Pillar 3 — Barefoot.",Auto,No
https://cavallo-inc.com/faq/treating-thrush-with-cavallo-hoof-boots/,Pillar 2 — Hoof Health,KEEP-SPOKE,,"AUTO. faq, wc=1237, tr=0, li=3. FAQ (thrush) — keep as spoke; link to Pillar 2 — Hoof Health.",Auto,No
https://cavallo-inc.com/faq/using-cavallo-hoof-boots-on-left-and-right-feet/,Pillar 1 — Hoof Boots,KEEP-SPOKE,,"AUTO. faq, wc=1474, tr=0, li=3. FAQ (boots (commercial)) — keep as spoke; link to Pillar 1 — Hoof Boots.",Auto,No
https://cavallo-inc.com/newsletter/august-2025-newsletter/,None,NOINDEX,,"AUTO. newsletter, wc=1206, tr=0, li=0. Newsletter archive -> noindex (low-value, keep live for users).",Auto,No
https://cavallo-inc.com/newsletter/2024-year-in-review/,None,NOINDEX,,"AUTO. newsletter, wc=565, tr=0, li=2. Newsletter archive -> noindex (low-value, keep live for users).",Auto,No
https://cavallo-inc.com/newsletter/april-2026-cavallo-newsletter-part-2/,None,NOINDEX,,"AUTO. newsletter, wc=1407, tr=0, li=0. Newsletter archive -> noindex (low-value, keep live for users).",Auto,No
https://cavallo-inc.com/newsletter/may-2-journal-founders-insights/,None,KEEP-SPOKE,,"FALSE POSITIVE — 'founder' = company founder, not the disease. Not part of laminitis cluster; leave as-is. (Decision #1)",Seed,No
https://cavallo-inc.com/newsletter/december-2024-cavallo-newsletter/,None,NOINDEX,,"AUTO. newsletter, wc=2034, tr=0, li=0. Newsletter archive -> noindex (low-value, keep live for users).",Auto,No
https://cavallo-inc.com/newsletter/april-2025-cavallo-newsletter/,None,NOINDEX,,"AUTO. newsletter, wc=1081, tr=0, li=0. Newsletter archive -> noindex (low-value, keep live for users).",Auto,No
